Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime
1990-01-03,358.760009765625,-0.002588887687124,-0.2512754719356886,1.1179004284813518e-122,2.736538467709217e-05,0.9999726346153229,2,Medium volatility
1990-01-04,355.6700134277344,-0.0086502960559933,-0.7849309072320619,0.0032247468445951374,0.013839811007370468,0.9829354421480344,2,Medium volatility
1990-01-05,352.20001220703125,-0.0098041416928253,-0.8865171984232071,0.005329227579554832,0.0176781729276007,0.9769925994928444,2,Medium volatility
1990-01-08,353.7900085449219,0.0045043102010344,0.3732202518781818,0.004776601659662038,0.0627639706187173,0.9324594277216206,2,Medium volatility
1990-01-09,349.6199951171875,-0.0118567045055311,-1.0672278904982226,0.007329264469942944,0.025586374507508128,0.9670843610225489,2,Medium volatility
1990-01-10,347.3099975585937,-0.0066290905607084,-0.6069809601621051,0.006351734379660709,0.04508907676727828,0.948559188853061,2,Medium volatility
1990-01-11,348.5299987792969,0.003506560350698,0.2853768665961756,0.004895003630878576,0.11148647775439366,0.8836185186147278,2,Medium volatility
1990-01-12,339.92999267578125,-0.0249846136926423,-2.223028599745924,0.03740889505724425,0.00013845197849114585,0.9624526529642646,2,Medium volatility
1990-01-15,337.0,-0.0086567621619675,-0.7855001928482656,0.023664702127463782,0.013595513006098897,0.9627397848664374,2,Medium volatility
1990-01-16,340.75,0.0110661402242806,0.9509335561625264,0.018098038172384957,0.021852424196328067,0.960049537631287,2,Medium volatility
1990-01-17,337.3999938964844,-0.009879918554625,-0.8931887063811268,0.014166391973405945,0.021393093207518792,0.9644405148190753,2,Medium volatility
1990-01-18,338.19000244140625,0.0023387229215696,0.1825587171380868,0.008109379021178675,0.0761146943949402,0.9157759265838812,2,Medium volatility
1990-01-19,339.1499938964844,0.0028345944519934,0.2262159864252831,0.005312238902730611,0.16426219374438858,0.8304255673528809,2,Medium volatility
1990-01-22,330.3800048828125,-0.0261989474892025,-2.329940358756695,0.04867451938389156,9.856425187293817e-05,0.9512269163642354,2,Medium volatility
1990-01-23,331.6099853515625,0.003716013541803,0.3038174380065134,0.023587909434362016,0.03574067798520508,0.9406714125804329,2,Medium volatility
1990-01-24,330.260009765625,-0.0040792828438327,-0.382492084926467,0.012692962596143012,0.07773608711344428,0.9095709502904127,2,Medium volatility
1990-01-25,326.0799865722656,-0.0127375437492531,-1.1447782915648774,0.014066217207073073,0.02357733858705228,0.9623564442058746,2,Medium volatility
1990-01-26,325.79998779296875,-0.000859050155018,-0.0989779950111577,0.007989912589085466,0.07792040213991211,0.9140896852710024,2,Medium volatility
1990-01-29,325.20001220703125,-0.0018432434894251,-0.1856278444069318,0.005276199199474486,0.15816491154109052,0.836558889259435,2,Medium volatility
1990-01-30,322.9800109863281,-0.0068499793942251,-0.626428342590234,0.005054748560618412,0.1677508835988417,0.82719436784054,2,Medium volatility
1990-01-31,329.0799865722656,0.0187104056804416,1.6239460907543182,0.0149429859211275,0.01351986225828768,0.9715371518205848,2,Medium volatility
1990-02-01,328.7900085449219,-0.0008815664136561,-0.1009603600117528,0.008441240178155856,0.060716115618102404,0.9308426442037419,2,Medium volatility
