Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime,Split,Return_5,Return_20,Volatility_5,Volatility_20,Volatility_change,Drawdown_20,Days_in_medium,Target
1990-01-30,322.9800109863281,-0.0068499793942251,-0.626428342590234,0.0050547485606184,0.1677508835988417,0.82719436784054,2,Medium volatility,train,-0.026369099631754,-0.1076521203409944,0.06767733630204627,0.14541419307186362,-0.07773685676981736,-0.09973240552276619,20,0.0
1990-01-31,329.0799865722656,0.0187104056804416,1.6239460907543182,0.0149429859211275,0.0135198622582876,0.9715371518205848,2,Medium volatility,train,-0.0035794111074797033,-0.0863528269734288,0.1681228944724955,0.16755626824424955,0.0005666262282459644,-0.07476038420897513,21,0.0
1990-02-01,328.7900085449219,-0.0008815664136561,-0.1009603600117528,0.0084412401781558,0.0607161156181024,0.930842644203742,2,Medium volatility,train,0.008276566228117298,-0.0785840973310916,0.13987844235058375,0.1671804950800764,-0.027302052729492654,-0.07066338617876955,22,0.0
1990-02-02,330.9200134277344,0.0064574198157494,0.5451749360362952,0.0063645784724395,0.1089719789923231,0.8846634425352372,2,Medium volatility,train,0.015593036198884698,-0.0623225358225169,0.1409609674312919,0.16943183609584048,-0.028470868664548565,-0.06464285187489582,23,0.0
1990-02-05,331.8500061035156,0.0028063830853657,0.2237322156212349,0.0044331969535898,0.2142646586859881,0.781302144360422,2,Medium volatility,train,0.020242662773675497,-0.06402046293818561,0.13570608540453946,0.16856925762907732,-0.03286317222453786,-0.05082658103612081,24,0.0
1990-02-06,329.6600036621094,-0.0066212465723705,-0.6062903637270555,0.0043979118188184,0.2275848095940777,0.7680172785871039,2,Medium volatility,train,0.020471395595530097,-0.058785005005025,0.13478491046418092,0.1661376473657883,-0.031352736901607364,-0.05414166695342837,25,0.0
1990-02-07,333.75,0.0123303783025026,1.062238962578769,0.0067996388624181,0.1318320293324042,0.8613683318051776,2,Medium volatility,train,0.0140913682175911,-0.039825536141814,0.10202184957246326,0.1736132044199086,-0.07159135484744535,-0.042406676128490584,26,0.0
1990-02-08,332.9599914550781,-0.0023698727326442,-0.2319930686134496,0.0045896088684814,0.2286174381471932,0.7667929529843254,2,Medium volatility,train,0.012603061898603,-0.04570196922515621,0.10513240968359136,0.17245505219018045,-0.06732264250658909,-0.022861360366608574,27,0.0
1990-02-09,333.6199951171875,0.0019802691082437,0.1509999086660285,0.0031248216516953,0.3815492910059547,0.6153258873423499,2,Medium volatility,train,0.008125911191097299,-0.018737086424270202,0.1004209365689381,0.15172187905018716,-0.05130094248124907,-0.020924445730924446,28,0.0
1990-02-12,330.0799865722656,-0.0106675974473606,-0.9625371311689116,0.0053708276821643,0.2082042803758926,0.786424891941943,2,Medium volatility,train,-0.0053480693416290016,-0.020747921709663303,0.12569847199523318,0.15316370343875396,-0.027465231443520782,-0.03131331893685807,29,0.0
1990-02-13,331.0199890136719,0.0028437546803772,0.2270224665975607,0.0035579007484893,0.3501716424926721,0.6462704567588387,2,Medium volatility,train,0.004116931911118697,-0.0289703072535667,0.11880894491514098,0.1475143409054191,-0.028705395990278118,-0.02397170876934751,30,0.0
1990-02-20,327.989990234375,-0.0143182087631679,-1.2839423974500257,0.0082292794364645,0.1342331638257994,0.857537556737736,2,Medium volatility,train,-0.006351918302350202,-0.007260431566029603,0.1291226596965169,0.12796653069092986,0.0011561290055870366,-0.020603852346287588,1,0.0
1990-02-21,327.6700134277344,-0.0009760449936129,-0.1092783951357308,0.0049320586322202,0.2478597811409021,0.7472081602268775,2,Medium volatility,train,-0.0101717179763403,-0.011952490101445501,0.1252073261857651,0.12710882294778728,-0.00190149676202217,-0.021559320687069672,2,0.0
1990-02-22,325.70001220703125,-0.0060302955851767,-0.55426215722485,0.0043112853849129,0.2794548177797674,0.7162338968353196,2,Medium volatility,train,-0.019188368596892203,-0.013903502842789503,0.11996535171751252,0.1279585621703654,-0.007993210452852867,-0.02744185266632626,3,0.0
1990-02-23,324.1499938964844,-0.0047703969698478,-0.4433388035953924,0.0035282741675542,0.3518631034250089,0.6446086224074367,2,Medium volatility,train,-0.032595810644080306,-0.005936356063384203,0.0691402817156492,0.12130714275450084,-0.05216686103885164,-0.03207029258017091,4,0.0
1990-02-26,328.6700134277344,0.0138478959339751,1.1958434787094725,0.0073289157408653,0.1524977925936579,0.8401732916654767,2,Medium volatility,train,-0.012247050377830202,0.008770590025608897,0.14667411156149265,0.13075203037871602,0.015922081182776632,-0.018573265695105312,5,0.0
1990-02-27,330.260009765625,0.0048260038786622,0.4015426431640504,0.0049166517972422,0.2530143903044512,0.7420689578983064,2,Medium volatility,train,0.0068971622639998975,0.015439837393696195,0.11570200844271657,0.13132029223734004,-0.015618283794623475,-0.013825449193141881,6,0.0
1990-02-28,331.8900146484375,0.0049233802470034,0.4101158039003558,0.0035306174702585,0.3748615647866224,0.621607817743119,2,Medium volatility,train,0.012796587504616198,0.027213197034924697,0.11571303916884064,0.1290071792455079,-0.013294140076667252,-0.00895816497589319,7,0.0
1990-03-06,337.92999267578125,0.0124765343116592,1.0751067556626714,0.0043306546383009,0.4189363996526016,0.5767329457090975,2,Medium volatility,train,0.022958499164890598,0.018155673784911296,0.09529518927295572,0.12308314524995126,-0.027787955976995543,0.0,1,0.0
1990-03-09,337.92999267578125,-0.0069006360563479,-0.6308882306939039,0.0030850671527516,0.4947941963705922,0.5021207364766561,2,Medium volatility,train,0.007097551960805,0.014816414787423496,0.1283205050193971,0.1208202779486575,0.007500227070739593,-0.00687688133964881,1,0.0
1990-04-23,331.04998779296875,-0.0122192775712628,-1.099149364097251,0.0041018525882638,0.4395066469332185,0.5563915004785176,2,Medium volatility,train,-0.0405210969015604,-0.0184661554725592,0.06823285770402779,0.10702616996657617,-0.03879331226254838,-0.03971109482279378,1,0.0
1990-05-11,352.0,0.0235128896822693,2.0467639466938463,0.0118569667984743,0.1196142947433206,0.8685287384582051,2,Medium volatility,train,0.03943205584146239,0.022001644884925897,0.1258814221154727,0.1310708248771949,-0.005189402761722195,0.0,1,0.0
1990-05-14,354.75,0.007782140442055,0.6618053162146023,0.0082842542384301,0.1582825446649112,0.8334332010966586,2,Medium volatility,train,0.0409100921895093,0.0286228346414146,0.12529354914787288,0.1330957697174324,-0.007802220569559509,0.0,2,0.0
1990-05-15,354.2799987792969,-0.0013257585443584,-0.1400676978513543,0.0048529090192147,0.2776705117507383,0.7174765792300469,2,Medium volatility,train,0.035247552540956,0.0274711283735561,0.1385139278041176,0.1333302246086956,0.005183703195421996,-0.0013248801147375255,3,0.0
1990-05-16,354.0,-0.0007906443620191,-0.0929554469467329,0.00303094878007,0.4324653043086755,0.5645037469112546,2,Medium volatility,train,0.0319747552786937,0.038235883936099294,0.14534354417386441,0.12512701612523244,0.02021652804863197,-0.0021141649048626032,4,0.0
1990-05-29,360.6499938964844,0.0169739894252014,1.4710694132308133,0.0071544348432278,0.3144525889162724,0.6783929762404997,2,Medium volatility,train,0.007374955625327697,0.0863940157780371,0.14302254871746456,0.11039799591161079,0.032624552805853774,0.0,1,0.0
1990-05-30,360.8599853515625,0.0005820888609919,0.027902033871439,0.0035522363019547,0.4836648412618295,0.5127829224362157,2,Medium volatility,train,0.006756668366367696,0.0826023332936644,0.14313622135920526,0.11115143726080591,0.031984784098399346,0.0,2,0.0
1990-06-12,366.25,0.0126945571506258,1.0943018116550756,0.0054757531393024,0.352552315896618,0.6419719309640796,2,Medium volatility,train,-0.0010643198227800032,0.0319028442911255,0.14614874328498967,0.11512999402115671,0.031018749263832954,-0.003130086868777693,1,0.0
1990-06-13,364.8999938964844,-0.0036928336154185,-0.3484685183460489,0.0034275978657754,0.4603244977758483,0.5362479043583762,2,Medium volatility,train,-0.00016440840690800295,0.0295357692200654,0.14489583925643704,0.11617321785697945,0.028722621399457582,-0.006804572785878649,2,0.0
1990-06-18,356.8800048828125,-0.0167552752288697,-1.4985053647432018,0.0101191065595367,0.0982315701553589,0.8916493232851043,2,Medium volatility,train,-0.013221998678697547,0.0062963727600654565,0.15072774558055746,0.13381254643442297,0.016915199146134485,-0.028633612380069562,1,0.0
1990-06-19,358.4700012207031,0.0044453734331328,0.368031370909359,0.0062612829608631,0.1842702216715809,0.8094684953675559,2,Medium volatility,train,-0.021471182396190547,0.0013119915343865552,0.11272965812283588,0.13060737564714217,-0.017877717524306294,-0.024305914055886668,2,0.0
1990-06-20,359.1000061035156,0.001755940293652,0.1312496651722405,0.0038995009944489,0.3255077173748628,0.6705927816306883,2,Medium volatility,train,-0.016022408487120048,0.0018675557080866552,0.11931200349823433,0.13068231804859162,-0.011370314550357294,-0.022591148423664054,3,0.0
