Date,Close,LogReturn,Return_scaled
1990-01-03,358.760009765625,-0.002588887687124,-0.25127547193568867
1990-01-04,355.6700134277344,-0.0086502960559933,-0.7849309072320619
1990-01-05,352.20001220703125,-0.0098041416928253,-0.8865171984232071
1990-01-08,353.7900085449219,0.0045043102010344,0.37322025187818186
1990-01-09,349.6199951171875,-0.0118567045055311,-1.0672278904982226
1990-01-10,347.3099975585937,-0.0066290905607084,-0.6069809601621051
1990-01-11,348.5299987792969,0.003506560350698,0.28537686659617567
1990-01-12,339.92999267578125,-0.0249846136926423,-2.2230285997459234
1990-01-15,337.0,-0.0086567621619675,-0.7855001928482656
1990-01-16,340.75,0.0110661402242806,0.9509335561625263
1990-01-17,337.3999938964844,-0.009879918554625,-0.8931887063811268
1990-01-18,338.19000244140625,0.0023387229215696,0.18255871713808688
1990-01-19,339.1499938964844,0.0028345944519934,0.22621598642528312
1990-01-22,330.3800048828125,-0.0261989474892025,-2.329940358756695
1990-01-23,331.6099853515625,0.003716013541803,0.3038174380065134
1990-01-24,330.260009765625,-0.0040792828438327,-0.382492084926467
1990-01-25,326.0799865722656,-0.0127375437492531,-1.1447782915648774
1990-01-26,325.79998779296875,-0.000859050155018,-0.0989779950111577
1990-01-29,325.20001220703125,-0.0018432434894251,-0.18562784440693184
1990-01-30,322.9800109863281,-0.0068499793942251,-0.626428342590234
1990-01-31,329.0799865722656,0.0187104056804416,1.6239460907543182
1990-02-01,328.7900085449219,-0.0008815664136561,-0.10096036001175282
1990-02-02,330.9200134277344,0.0064574198157494,0.5451749360362952
1990-02-05,331.8500061035156,0.0028063830853657,0.22373221562123496
1990-02-06,329.6600036621094,-0.0066212465723705,-0.6062903637270555
1990-02-07,333.75,0.0123303783025026,1.062238962578769
1990-02-08,332.9599914550781,-0.0023698727326442,-0.23199306861344962
1990-02-09,333.6199951171875,0.0019802691082437,0.1509999086660285
1990-02-12,330.0799865722656,-0.0106675974473606,-0.9625371311689116
1990-02-13,331.0199890136719,0.0028437546803772,0.22702246659756078
1990-02-14,332.010009765625,0.0029863550353752,0.2395772145849614
1990-02-15,334.8900146484375,0.0086370450773403,0.7370723956648472
1990-02-16,332.7200012207031,-0.006500864332275,-0.5956917317209924
1990-02-20,327.989990234375,-0.0143182087631679,-1.2839423974500255
1990-02-21,327.6700134277344,-0.0009760449936129,-0.10927839513573087
1990-02-22,325.70001220703125,-0.0060302955851767,-0.55426215722485
1990-02-23,324.1499938964844,-0.0047703969698478,-0.44333880359539246
1990-02-26,328.6700134277344,0.0138478959339751,1.1958434787094723
1990-02-27,330.260009765625,0.0048260038786622,0.4015426431640504
1990-02-28,331.8900146484375,0.0049233802470034,0.4101158039003558
1990-03-01,332.739990234375,0.0025577420311284,0.20184148627967977
1990-03-02,335.5400085449219,0.0083798249259539,0.7144263498118576
1990-03-05,333.739990234375,-0.0053789823508543,-0.4969195684361248
1990-03-06,337.92999267578125,0.0124765343116592,1.0751067556626714
1990-03-07,336.95001220703125,-0.0029041641489939,-0.27903288197293175
1990-03-08,340.2699890136719,0.0098048002053419,0.8398832992089543
1990-03-09,337.92999267578125,-0.0069006360563479,-0.6308882306939039
1990-03-12,338.6700134277344,0.0021874698207575,0.16924216850091522
1990-03-13,336.0,-0.0079150616267922,-0.7201997712513022
1990-03-14,336.8699951171875,0.0025859247947037,0.20432273882832414
1990-03-15,338.07000732421875,0.0035559115392587,0.28972181885991277
1990-03-16,341.9100036621094,0.011294558949328,0.9710438814742247
1990-03-19,343.5299987792969,0.0047268852934525,0.39281609505557674
1990-03-20,341.57000732421875,-0.0057217830533584,-0.5271002536798833
1990-03-21,339.739990234375,-0.0053720670398318,-0.49631073413733784
1990-03-22,335.69000244140625,-0.0119924681332923,-1.0791807228205619
1990-03-23,337.2200012207031,0.0045474176562709,0.37701549654556016
1990-03-26,337.6300048828125,0.0012150958252865,0.08363291133734474
1990-03-27,341.5,0.0113970432158225,0.9800667491839867
1990-03-28,342.0,0.00146305805176,0.10546387566988943
1990-03-29,340.7900085449219,-0.003544260187092,-0.3353878920720857
1990-03-30,339.94000244140625,-0.0024973382444333,-0.24321532242634958
1990-04-02,338.70001220703125,-0.0036543427665174,-0.3450797265875628
1990-04-03,343.6400146484375,0.0144798445325697,1.251481176080264
1990-04-04,341.0899963378906,-0.007448279054631,-0.6791035372448953
1990-04-05,340.7300109863281,-0.0010559543021484,-0.11631372986911716
1990-04-06,340.0799865722656,-0.0019095624738643,-0.19146666673262785
1990-04-09,341.3699951171875,0.0037860741669604,0.30998567996287624
1990-04-10,342.07000732421875,0.002048497159433,0.1570068080763781
1990-04-11,341.9200134277344,-0.0004385850504773,-0.061959619951161685
1990-04-12,344.3399963378906,0.0070526998707665,0.5975842801278332
1990-04-16,344.739990234375,0.0011609506855663,0.07886589246183605
1990-04-17,344.67999267578125,-0.0001740522764999,-0.038669759896179066
1990-04-18,340.7200012207031,-0.0115553999245623,-1.0407005856989766
1990-04-19,338.0899963378906,-0.0077489078012131,-0.7055713405765162
1990-04-20,335.1199951171875,-0.0088234593280223,-0.8001764600290958
1990-04-23,331.04998779296875,-0.0122192775712628,-1.099149364097251
1990-04-24,330.3599853515625,-0.0020864598954934,-0.2070409796311157
1990-04-25,332.0299987792969,0.0050423980017546,0.4205943045811467
1990-04-26,332.9200134277344,0.0026769386076725,0.2123357306978866
1990-04-27,329.1099853515625,-0.0115102643317612,-1.0367267807748044
1990-04-30,330.79998779296875,0.0051219293686415,0.42759636476797114
1990-05-01,332.25,0.0043737713453646,0.36172741628516397
1990-05-02,334.4800109863281,0.0066894223009486,0.5656007809380659
1990-05-03,335.57000732421875,0.0032534803957426,0.2630953298133794
1990-05-04,338.3900146484375,0.0083685194665878,0.7134310003036101
1990-05-07,340.5299987792969,0.0063041040940081,0.5316767911754675
1990-05-08,342.010009765625,0.0043367811041949,0.35847074026997966
1990-05-09,342.8599853515625,0.0024821529002432,0.19518650643153254
1990-05-10,343.82000732421875,0.0027961280607469,0.2228293479551942
1990-05-11,352.0,0.0235128896822693,2.0467639466938463
1990-05-14,354.75,0.007782140442055,0.6618053162146023
1990-05-15,354.2799987792969,-0.0013257585443584,-0.1400676978513543
1990-05-16,354.0,-0.0007906443620191,-0.09295544694673297
1990-05-17,354.4700012207031,0.0013268064670155,0.09346808288679892
1990-05-18,354.6400146484375,0.0004795121410987,0.01887102642653209
1990-05-21,358.0,0.0094297546588117,0.8068637297937896
1990-05-22,358.42999267578125,0.0012003761199519,0.08233696652060644
1990-05-23,359.2900085449219,0.0023965230989526,0.18764753098206924
1990-05-24,358.4100036621094,-0.0024522929047092,-0.23924946351771745
1990-05-25,354.5799865722656,-0.010743640114069,-0.9692320409875249
1990-05-29,360.6499938964844,0.0169739894252014,1.4710694132308133
1990-05-30,360.8599853515625,0.0005820888609919,0.02790203387143901
1990-05-31,361.2300109863281,0.0010248740988814,0.06688550676897749
1990-06-01,363.1600036621094,0.0053286136016659,0.4457931529781191
1990-06-04,367.3999938964844,0.0116076375807319,0.9986077912384843
1990-06-05,366.6400146484375,-0.0020706760142417,-0.2056513431790821
1990-06-06,364.9599914550781,-0.0045927450312905,-0.4276980619009461
1990-06-07,363.1499938964844,-0.0049717798777377,-0.4610688552321017
